,Accuracy,Bearing,Speed,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,second,label
0,3.9,201.0,6.2243905,-2.7210102000000003,10.200497,3.1423898,0.19547687,-0.07574729,-0.07086037,0.0,1.0
1,3.9,195.0,5.995014,-2.9939492000000003,9.431957,1.8782512,0.28955013,0.010995574,-0.062308256,1.0,1.0
2,3.9,179.0,5.477979,-2.3678656000000005,8.754398,3.6870706,0.29565877,-0.06352998,-0.12583824,2.0,1.0
3,3.9,160.0,5.0431085,0.19153613,8.804677,1.3718776,0.16615535,-0.1600467,-0.06841691,3.0,1.0
4,3.9,147.0,4.7420306,-0.37229836,9.478644,3.7002387,0.20158553,-0.20647246,-0.23457226,4.0,1.0
5,3.9,138.0,4.51251,0.4345476,10.477027,-0.5327099000000001,0.27855456,-0.16615535,-0.34819320000000004,5.0,1.0
6,3.9,121.0,4.9178896,-2.920926,10.41358,-1.2054806,0.33108896,0.22724187,0.26389378,6.0,1.0
7,3.9,112.0,5.482474,0.47764325,9.285912,3.6846764,0.21135938,-0.47403142,-0.44593164,7.0,1.0
8,3.9,99.0,6.4508220000000005,-0.15801731,9.743204,1.9680338,-0.07696902,0.02443461,-0.042760565999999986,8.0,1.0
9,3.9,92.0,7.299765,-1.340753,9.710882000000002,0.9552865,0.1282817,0.112399206,-0.036651913,9.0,1.0
10,4.0,92.0,7.8779035,-0.18674773,10.149021,2.9819782000000004,0.04520403,-0.07819075,0.02687807,10.0,1.0
11,4.0,89.0,8.273480000000001,-0.9696517,10.375273,0.48961425,-0.04520403,0.07452556,-0.010995574,11.0,1.0
12,4.0,89.0,8.810093,-0.48123455,9.576807,1.5215151000000002,0.07574729,-0.017104227,-0.08552113,12.0,1.0
13,4.0,88.0,9.254627,0.32680854,8.813056,2.6503813,0.030543262,-0.05497787,-0.0720821,13.0,1.0
14,3.9,89.0,9.619711,0.06703765,9.141062,2.5139117000000004,0.08552113,0.09162979,-0.043982297,14.0,1.0
15,3.9,92.0,10.409358,0.2801216,8.784326,1.6304513,0.064751714,-0.15027285,-0.13561209,15.0,1.0
16,3.9,94.0,11.256337,0.18076223,9.633071,1.3982137,-0.36651915,0.6951646,-0.02321288,16.0,1.0
17,4.0,94.0,11.773839,0.11252748,9.713276,2.8060043,0.035430185,-0.22968534,-0.19914207,17.0,1.0
18,4.0,94.0,12.099844,-0.24899697,9.593566,1.5059528,0.056199603,-0.20891592,-0.09162979,18.0,1.0
19,6.0,94.0,12.360864,0.31124622,9.676167,1.8255788,0.0061086523,0.089186326,-0.010995574,19.0,1.0
20,6.0,93.0,12.968356,-0.51595044,7.6027875,1.3575124,-0.37140608,-0.013439035,-0.2125811,20.0,1.0
21,6.0,91.0,13.308266,-0.5422866999999999,9.582792,2.0506337,-0.02321288,-0.04886922,-0.103847094,21.0,1.0
22,6.0,94.0,13.481388,-0.51355624,9.527725,2.8862102000000003,0.013439035,-0.08552113,-0.04886922,22.0,1.0
23,6.0,96.0,13.277724,-0.45609543,9.6845455,2.8048072,0.004886922,-0.08552113,-0.09773844,23.0,1.0
24,6.0,94.0,12.916336,-1.8866309,8.350976,3.5661635,0.07696902,-0.010995574,-0.02565634,24.0,1.0
25,6.0,91.0,12.48278,-2.5103204,8.652645,4.5034933,-0.0012217305,-0.12095132,-0.0720821,25.0,1.0
26,6.0,92.0,11.176276,-3.5757403,8.796297000000003,3.0202854,0.19547687,-0.04153884,0.032986723,26.0,1.0
27,8.0,89.0,10.090239,-4.911705,8.802282,3.2453403,0.37995818,-0.14905111,-0.10873401,27.0,1.0
28,6.0,67.0,8.0337105,-3.904943,9.886856,4.179079,0.41783184,-0.06352998,-0.05497787,28.0,1.0
29,6.0,45.0,6.3676157,-3.7936125,7.9283990000000015,0.8678981,1.5662584,0.54000485,1.3170254,29.0,1.0
30,6.0,34.0,4.927616,1.8579005,8.36175,3.5314474,0.02076942,-0.52290064,-0.41905355,30.0,1.0
31,5.346,30.0,3.6934538,-0.2741361,9.355343,3.2429461,0.15149458,0.14172074,-0.032986723,31.0,1.0
